years,place,lat,lon,Value
81.15,Hawaii,19.741755,-155.844437,81.15
60.9,Minnesota,46.392410,-94.636230,80.9
40.82,California,36.778259,-119.417931,80.82
20.56,Connecticut,41.599998,-72.699997,80.56
10.41,Massachusetts,42.407211,-71.382439,80.41
74.91,Mississippi,33.000000,-90.000000,74.91
55.65,Alabama,32.318230,-86.902298,75.65
55.82,Louisiana,30.391830,-92.329102,75.82
46.03,West Virginia,39.000000,-80.500000,76.03
26.08,Oklahoma,36.084621,-96.921387,76.09
