state,visited
Alabama,75.65
Alaska,78.41
Arkansas,79.58
Arizona,76.18
California,80.82
Colorado,80.21
Connecticut,80.56
Delaware,78.72
Florida,79.48
Georgia,77.38
Hawaii,81.15
Iowa,79.49
Idaho,79.02
Illinois,77.69
Indiana,79.73
Kansas,78.74
Kentucky,76.26
Louisiana,75.82
Maine,79.32
Maryland,79.16
Massachusetts,80.41
Michigan,78.26
Minnesota,80.9
Missouri,74.91
Mississippi,77.73
Montana,78.93
North Carolina,79.58
North Dakota,78.11
Nebraska,80.15
New Hampshire,80.04
New Jersey,78.35
New Mexico,80.36
Nevada,77.86
New York,79.95
Ohio,77.91
Oklahoma,76.09
Oregon,79.44
Pennsylvania,78.76
Rhode Island,79.76
South Carolina,76.89
South Dakota,79.57
Tennessee,76.33
Texas,78.54
Utah,79.91
Virginia,80.24
Vermont,79.18
Washington,79.99
Wisconsin,76.03
West Virginia,79.79
Wyoming,78.62
